id,split,label,pred_label,score_ai,text_len_chars,domain,model_family,model,text
ai_ac6c5c6653b9fa10,test,1,0,0.0019444468,484,学习,anthropic,claude-3-7-sonnet,"标题：【Day 301】365天每天带你认识一个新植物
正文：⚫️日本海芋，天南星科。（样子超可爱，hihi）花朵像一把把小雨伞，非常特别。

它的花是由一片佛焰苞和一根肉穗花序组成，靠近看有一股淡淡的清香。

——————————

1️⃣ ｜日本海芋｜·花期
三周左右。

——————————

2️⃣｜日本海芋｜·花语
纯洁幸福。

——————————

3️⃣｜日本海芋｜·鲜切花养护
✔️科学的养护，能让花朵保持更久的鲜艳。

换水：每2天/次；
清洁：更换水时记得清洗花茎和容器；
水量：水位保持在花瓶的1/3——2/5处；
修剪：换水时以45度角剪切茎部，有助于吸水；

｜Tips"
ai_acb643f6a7848675,test,1,0,0.0013288895,434,职场,glm,glm-3,"标题：【摸鱼办】提醒您:😜
正文：今天是2023年6月15日，星期四，你好摸鱼人!工作再累，一定不要忘记摸鱼哦!有事没事起身去茶水间，去厕所、走廊走走，去找同事聊聊八卦别老在工位上坐着，钱是老板的但命是自己的！

温馨提示：
距离【30号｜05号｜发工资】：10天～14天
距离【08号｜10号｜发工资】：17天～19天
距离【13号｜15号｜发工资】：20天～22天
距离【18号｜20号｜发工资】：27天～29天
距离【25号｜28号｜发工资】：5天～8天
距离【中 秋】还有:70天
距离【国 庆】还有:90天
距离【元 旦】还有:160天
距离【春 节】还有:180天
距离【双 休 周 末 "
ai_ff1adb2c4e845e25,test,1,0,0.0024036772,387,健康,deepseek,deepseek-r1-250528,"标题：五天轻断食，减了3斤目标达成啦
正文：计划搞五天轻断食的 结果第四天就减了3斤✅目标完成 贼开心了 6月回家得大吃一顿，怕反弹先悠着点加食量 4月1晨重108---5月5晨重91.5 减重16.5斤✅ 5.1晨重94.0 早 鸡蛋 中 鸡蛋 晚 鸡蛋 水1500 运动40分钟 5.2晨重93.2⬇️0.8 早 香蕉 中 香蕉 晚 香蕉 没咋喝水 运动20分钟 偷啃一把坚果 晚上七点饿疯吃了一片饼干 5.3晨重92.4⬇️0.8 早 豆奶 中 豆奶 晚 豆奶 整天没喝水喝了1000ml 没运动 下午跑厕所太爽啦之前便秘 这下舒坦得很 5.4晨重91.6⬇️0.8 ✨早 燕麦粥 沙拉 黑咖 "
ai_b05f3ecbce0b3570,test,1,0,0.001570332,712,心理,anthropic,claude-sonnet-4,"标题：人生三重境界：放下、接纳、爱自己
正文：见山是山、见水是水、见自己是自己
心若安定，万物皆静
情若不深，何必纠缠

人生没有标准答案，只有最适合的选择
我们留不住时光，也改不了过往。
唯有用最真实的自己，
过好每一个平凡的日子，
人生要学会与过去告别，
3分放下，3分接纳，4分爱自己。
往后余生，取悦自己。

""3分放下""
人生的选择，谁都会迷茫，
错了就错了，不要反复去纠结。
就算重头再来，你大概率还是会走那条路，
不要去羡慕别人走的路，
人生路上，哪条路都有坑。
人到了一定年纪，请学会放下所有的执着，
顺其自然就顺，强求不来就算，
人生那么长，没必要为难自己，只讨好内心。

""3分接"
ai_4adc84f189dcfbbe,test,1,0,0.057100836,489,心理,gemini,gemini-2.0,"标题：呱呱book list | 东野圭吾《拉普拉斯的魔女》
正文：‍♂️Hi，我是爱读书的呱呱！

一起读书吧，相信总能在书中找到一些力量，变成更好的自己！✨

这是呱呱读过的第N+1本东野圭吾，虽然已经看了这么多本，但《恶意》依然是我的Top1，那种纯粹的恶意，太让人不寒而栗了。

今天要说的《拉普拉斯的魔女》，是东野圭吾老师30周年纪念作品！听说他写这本书的初衷竟然是为了…颠覆自己之前的作品？有点意思！

这本书依旧离不开对人性的探讨，还有家庭关系。书里的父爱，emm…怎么说呢，有点扭曲。为了某种执念，做出了不可理喻的选择。

结局就不剧透啦！只能说，看完之后真的感觉脑子不够用，反转反转"
ai_b3c7b7dff4b4ddaa,test,1,0,0.0007158901,293,健康,glm,glm-3,"标题：夏日必备！这款防晒真的好用又大碗
正文：好用又大碗，全身都能用的防晒！好用又大碗，全身都能用的防晒！以前我从来不在意身体防晒，直到朋友提醒我身上也有点黑，夏天才开始注意身体的防晒工作。在挑选了很久之后，我入手了这款性价比超高的安热沙小金瓶防晒霜。它的防晒指数很高，SPF50+PA++++，而且是清透的乳液质地，上脸之后很快就吸收了，而且不会搓泥，反而很快成膜。我平时也会把它当作妆前乳来用，感觉又省了一笔钱。再加上它的成分可以帮助肌肤抗氧化和保湿，容量也很足，足足有60克，所以不管是用在脸上还是身上都不会心疼，还能很好地抵御夏天的阳光。这个夏天我也想让自己白回来！安热沙防晒霜"
ai_0ed3b416ccbf6d9f,test,1,0,0.0001932793,537,职场,anthropic,claude-sonnet-4,"标题：想通了这几点，上班真的没那么痛苦了
正文：1.别人的评价关我什么事。
你觉得我做得不好可以，你有你的标准，我有我的节奏。夸我我不飘，骂我我不慌，反正工资按时到账就行。
.
2.摆烂也是一种能力。
能力不够就承认，时间不够就说，资源不够就要。实在不行就摆烂，反正急的又不是我，大不了重新找工作呗。
.
3.对事不对人，但是对人也要分人。
工作上的事咱们好好聊，生活中能帮的我肯定帮。但是如果有人故意给我使绊子，不好意思，我记仇。
.
4.学会说不是成年人的基本技能。
不是我的活我不接，没时间的事我推掉，能力范围外的我拒绝。说不定还能让领导觉得我有原则呢？
.
5.不需要所有人都喜欢我。
讨厌我"
ai_94c688e0ac18d32f,test,1,0,0.012911534,302,健康,gpt,gpt-o4,"标题：初解锁宝宝蒸梨咬咬袋🍐
正文：6月辅食进度〰️
已解锁菜品：胡萝卜 西葫芦 土豆 西兰花 南瓜 鸡胸肉...
已上水果：香蕉 苹果 蓝莓
⚠️这回给娃解锁〝寒性水果〞——梨！直接生吃太凉 所以我先蒸了再上阵😂
工具清单：轻便围兜 /削皮刀/ 水果刀/ 玻璃碗/ 咬咬袋/辅食剪刀
1.梨子洗净去皮 去籽 切小块
2.放碗里，隔水蒸8-12分钟 软糯就行
3.蒸好后拿出碗里用辅食剪剪碎成小粒
4.装进咬咬袋 按压塞满 即可
食用：午睡醒来 前一顿奶前
小贴士：蒸梨甜度up～ 爱吃甜的小宝可以拌米糊 也很赞！
剩下的当天内冷藏 隔水加热后再用哈
我们家小公举的梨泥打卡～
#辅食记 #梨泥 #咬"
ai_90870a8ee3e5cb7f,test,1,0,0.022678588,385,情感,gemini,gemini-1.5,"标题：心跳加速的17岁告白🙈
正文：——哎，林知夏
——干嘛？
——十七岁了，喜欢过哪个男生吗？
——没有…吧？
——一个都没有？！小学初中高中…
——真…真没有，我好像没怎么关注过这些…
——那女生呢？幼儿园，小学，初中，高中…现在呢？有喜欢的女生吗？
——你…你干嘛问这个？你是老师吗？要告家长吗？！
——不是啦，我就是…好奇，十七岁不算早恋啊！
——你…你不会是…歧视…歧视异性恋吧？！
——我歧视我自己？！
——你…你什么意思啊？！
——我说…我喜欢女生…
——啊？！！😳 喜欢谁啊？…我绝对不会说出去的！要是我说出去，我就直播吃翔！当然，你不想说也没关系啦～
——这问题好像是你先问我的，公"
ai_2a38d22a0b967e08,test,1,0,0.00032016574,760,穿搭,glm,glm-3,"标题：如何培养高情商宝宝？
正文：今天分享下如何培养高情商宝宝 感觉小初一的情商是朋友们都夸的 大方不认生 说话也很有礼貌 如果父母情商不高 怎么提高孩子的情商呢 第一 父母要学会管理自己的情绪 总是急躁催促孩子 爱发脾气的父母 孩子情商肯定不会高 要给孩子一个轻松自在的环境 第二 多抱抱孩子 多夸夸孩子 用孩子能感受到的爱去滋养她 不要像老一辈那样把爱藏起来 （在充满爱的环境里 孩子会更大方 不怯场） 第三 真诚地给孩子自由 不要过度规划她的成长路线 你走过的路不一定适合她 每个孩子都有自己的特点 教育应该是爱与自由的结合 不自由的孩子 可能飞得快但飞不远♥️ 或者飞得远但飞不高（可以意会）"
