id,split,label,pred_label,score_ai,text_len_chars,domain,model_family,model,text
ai_77a117976b360948,test,1,0,0.20825414108280552,159,宠物,deepseek,deepseek-r1-250528,"标题：小乖宝的葡萄建议
正文：昨天爸爸买了葡萄回来，小糖糖就超兴奋！晚上吃饭时一直念叨想吃 我给她洗了好几颗 结果我手上沾了汁说黏糊糊的 好难受 小糖糖就说'妈妈别洗了 吃草莓吧 草莓不用洗的' 我说再洗点 她摇头不要了 后来爸爸放一盘在桌上 她乖乖坐着看 眼睛亮亮的 但没再喊我洗 怎么会有这么贴心的崽崽啊#萌娃日常"
ai_bafabfa4382dbebc,test,1,0,0.4560476359241824,419,健康,qwen,qwen2.5,"标题：宝宝的甜蜜诱惑，守护洁白小牙的秘籍
正文：宝宝的快乐源泉就是那些甜甜的东西啦～比如糖果、巧克力、果汁饮料，还有各种甜点～ 可是这些甜蜜的背后，却让妈妈们头疼不已，小牙牙容易变黑，看着宝宝笑起来满口小黑牙，妈妈的心都碎了～ 但也不能剥夺宝宝的快乐时光啊，所以和宝贝立下了刷牙的小约定～ 妈妈当然也做了充分的准备～ 如果宝宝不喜欢刷牙，可能是因为牙刷和牙膏不适合呢！ 给宝贝选的是小熊牙刷，它能够全方位清洁口腔，但同时非常温柔，即使宝宝刷得不够仔细，也能清除大部分细菌！ 刷毛的颜色也是宝宝喜欢的糖果色，谁能抵挡这样的诱惑呢？ 光有好牙刷还不够，还要搭配上美味的牙膏～ 宝贝现在用的是迪士尼儿童牙膏"
ai_fe2c7f9a6aad3090,test,1,0,0.4631343512483436,266,美食,qwen,qwen3,"标题：周末又挖到一家宝藏意式餐厅
正文：在yorkville新开了家意大利餐厅 11:30pm才打烊 晚上直接排到爆 气氛很嗨但声音有点大 不太适合谈工作或者第一次约会 建议叫上闺蜜或对象来放松～ 前菜的帕玛森芝士板很惊艳 主推墨鱼汁意面和藏红花烩饭 饱腹感很强就是酱料偏咸（意料之中的） 牛排五分熟很嫩没有腥味 甜品的提拉米苏中规中矩 奶油泡芙有点腻 地址：142 Avenue Rd. Toronto 人均没点酒130cad左右 #多伦多美食 #意大利餐厅推荐 #周末聚餐好去处 #torontolife #美食探店 #吃货日常"
ai_54cd14884e6eb9e9,test,1,0,0.3526097609256896,427,情感,glm,glm-3,"标题：挖到宝藏！福州这家塔罗店也太绝了吧
正文：店名：星辰指引 地址：西湖公园附近创意园B栋301(星巴克楼上) ⏰时间：13点～22点 可以提前微信预约下 - 福州居然有家这么专业的塔罗牌工作室！ 作为资深星座爱好者 必须来试试 想让塔罗牌给我指引一下未来方向！[哇R] - 店主小姐姐不仅颜值高 而且超有气质 真的忍不住一直盯着看[偷笑R] 服务态度也超级好 非常耐心！ 店里是loft设计 占卜室在阁楼 私密性满分 聊心事完全不用担心被听到 - 这次主要问了下半年的学业和感情问题 美女占卜师分析得特别细致 连一些细节都考虑到了 真的！太准了！[哇R][哇R][哇R] 我闺蜜也一起算了一次 回"
ai_8744ff87c58bec87,test,1,0,0.3661219085848771,729,职场,anthropic,claude-3-7-sonnet,"标题：意外发现！深圳创业补贴政策太香了，一年下来能拿7W+[赞R][赞R]
正文：哇哈哈哈我终于拿到补贴啦！！前几天去办理了带动就业补贴的申请，超级顺利就通过了[笑哭R][笑哭R] 我算了下如果全部都申请下来差不多能拿到7万多，真的太爽了有木有！！

去年11月因为各种原因辞职了，然后听朋友说深圳有创业补贴政策，一开始我还半信半疑，后来去人社局官网查了一下竟然是真的诶[惊讶R] 当时简直惊呆了好嘛，没想到深圳对创业这么支持，补贴还不用还，就立马行动起来了嘻嘻[斜眼R][斜眼R]

给大家科普下申请条件，只要满足一个就可以了：
1. 应届或毕业5年内的大学生（一定要赶在5年内申请！超过就不行了，"
ai_ac6c5c6653b9fa10,test,1,0,0.14584521764687583,484,学习,anthropic,claude-3-7-sonnet,"标题：【Day 301】365天每天带你认识一个新植物
正文：⚫️日本海芋，天南星科。（样子超可爱，hihi）花朵像一把把小雨伞，非常特别。

它的花是由一片佛焰苞和一根肉穗花序组成，靠近看有一股淡淡的清香。

——————————

1️⃣ ｜日本海芋｜·花期
三周左右。

——————————

2️⃣｜日本海芋｜·花语
纯洁幸福。

——————————

3️⃣｜日本海芋｜·鲜切花养护
✔️科学的养护，能让花朵保持更久的鲜艳。

换水：每2天/次；
清洁：更换水时记得清洗花茎和容器；
水量：水位保持在花瓶的1/3——2/5处；
修剪：换水时以45度角剪切茎部，有助于吸水；

｜Tips"
ai_b08f64c4605a4d10,test,1,0,0.3942139312815086,486,心理,gpt,gpt-4.1,"标题：关于百合的多重益处，你知道吗？
正文：百合一直是大家喜爱的观赏植物，也是一种非常有营养的食材。其实，我们吃的百合是它的地下鳞茎，通常是白色、肉质嫩滑，营养丰富。食用百合不仅能滋阴润燥，还能帮助宁心安神。不过，大家在食用百合时也要注意一些事项，比如脾胃虚寒或者感冒风寒的人，最好少吃或者不吃，否则可能会影响康复。 百合的好处很多：首先，它有助于预防癌症。百合中含有的水解秋水仙碱能抑制病毒，防止细胞癌变，还能抑制癌细胞的再生，常吃有益健康。其次，百合对美容养颜很有帮助。它丰富的粘液蛋白能促进皮肤中的胶原蛋白合成，提高皮肤弹性，减少皱纹，让皮肤变得光滑细腻。第三，百合还是个防高血压的好帮手。因其"
ai_416068e41d3e851b,test,1,0,0.22775186404142947,601,旅行,glm,glm-3,"标题：四姑娘山旅行攻略
正文：四姑娘山海拔：镇上约3270米，景区平均海拔4000米左右，比拉萨还高一些哦！海拔高的话，可能会有点高原反应，但一般睡一觉就没事了。（高原反应没有特效药！预防药也没有！）多喝水，多休息，慢慢适应就好。特别注意保暖，防风，太阳大了也要戴帽子，别晒伤。 ————————————————————— 关于穿衣： 早晚温差大，已经能感觉到霜冻了，风也挺大的。 所以早晚一定要穿厚外套，最好是羽绒服。 白天太阳一出来就热得不行，但太阳一下去就冷得发抖，一定要带够衣服，方便穿脱。 ————————————————————— 关于住宿： 四姑娘山有三个沟，自驾的话住哪里都行，因为沟"
ai_acb643f6a7848675,test,1,0,0.3305480521016339,434,职场,glm,glm-3,"标题：【摸鱼办】提醒您:😜
正文：今天是2023年6月15日，星期四，你好摸鱼人!工作再累，一定不要忘记摸鱼哦!有事没事起身去茶水间，去厕所、走廊走走，去找同事聊聊八卦别老在工位上坐着，钱是老板的但命是自己的！

温馨提示：
距离【30号｜05号｜发工资】：10天～14天
距离【08号｜10号｜发工资】：17天～19天
距离【13号｜15号｜发工资】：20天～22天
距离【18号｜20号｜发工资】：27天～29天
距离【25号｜28号｜发工资】：5天～8天
距离【中 秋】还有:70天
距离【国 庆】还有:90天
距离【元 旦】还有:160天
距离【春 节】还有:180天
距离【双 休 周 末 "
ai_bf3cba80ba5d8c2c,test,1,0,0.47728786536633677,295,情感,gpt,gpt-4.1,"标题：我的甜蜜520小记
正文：昨天520真的特别忙哈哈哈 上午还在赶作业，下午又要参加舞台排练，最后的彩排时间一晃而过！快要到正式表演了，好激动！晚上想跟他去散步顺便拍点照片，路过商场门口看到一堆卖花的男生，忍不住买了几支闪闪发光的粉色康乃馨，拍了几张放壁纸都特别好看，心情大好！不知道他看到没有，反正我自己挺喜欢的[doge] 今晚还突然想到一句话：有三样东西最令人心动，一是你微笑的样子，二是你认真的样子，三是你在我心里的样子。 他还送我一对情侣项链，一只粉色的心形，一只白色的小天使，然后还偷偷买了个很可爱的猫咪钥匙扣，下次一定要给你们看那个超萌的小东西[偷笑R] 我的520小日常"
ai_daf8e6f643cb0fdc,test,1,0,0.493038878978585,400,健康,deepseek,deepseek-r1-250120,"标题：一个月狂甩25斤！！大体重姐妹先冲🏃♀️🔥
正文：狠狠懂减肥人的挣扎！夏天马上来了露肉警告👙，这一波我必须让姐妹们赢麻了💥靠饮食管理+规律运动，从XL码怼到M码真不是说说而已，腰围直接咔咔缩水12cm❗❗减肥是场逆袭持久战，大体重姐妹真的瘦超快啊！！每天一斤往下掉，裤子松到能塞俩拳头👊 宝子们记住：七分吃三分动！！千万别节食搞垮代谢，小基数也能靠多吃蛋白质突破平台期✌️[皱眉R][皱眉R][哭惹R][派对R][赞R][赞R][哇R][哇R][哇R]后续等我整理懒人食谱！#减脂掉秤[话题]# #大基数减肥[话题]# #减肥逆袭[话题]# #健康减肥[话题]# #减肥前后对比[话题]# #减"
ai_8e66b3a2e954da2c,test,1,0,0.4399705480943191,372,健康,deepseek,deepseek-r1-250528,"标题：脾胃养好了，皮肤嫩滑不长黑头！
正文：1、脾胃是气血之本哦！脾胃健康,身体吸收营养快,气血足了皮肤才嫩白红润。
2、现代人常熬夜、压力大、吃油腻,脾胃负担重，体内垃圾堆积,就痘痘、黑头、毛孔大频发。
3、改善皮肤问题,要根治脾胃! 肠胃通畅了,身体排毒顺，皮肤自然干净无暇。
4、推荐红枣绿豆汤简单又有效：红枣10颗、绿豆50g、黑豆50g,泡两小时洗去杂质,慢火煮水别破皮,花青素抗氧化抗老。
5、山药当主角天天吃超赞！蒸熟或煮粥,平和无刺激，补气排湿,助解鼻炎胃胀。
6、日常喝山药小米粥:山药切块、小米50g加水煮软,搭配点枸杞,坚持半月气血up,皮肤水嫩嫩滴。
7、养好脾胃从今天做起吧"
