id,split,label,pred_label,score_ai,text_len_chars,domain,model_family,model,text
human_36c010c26f58659f,test,0,1,0.6814853,241,情感,,,"标题：小宝宝可爱舒适家居服攻略来啦
正文：总是想让你听话懂事 催促你掌握很多技能 把你打扮成大孩子的模样 你真的就不喜欢哭闹 能看懂我们所有的表情 哎忘了忘了你也就才一岁多 在家里尽情的撒欢吧 做回那个不管不顾的小宝宝 世界上有好多美丽的风景 对于我来说陪伴你的每个瞬间都是zui珍贵的 希望夏天不太热 希望冬天不太冷 每天能看着你的笑 足矣！ / / 早秋穿搭 | 家居服分享 | 宅家拍照 | 男宝穿搭 | a类服饰 | 手机修图 | @穿搭薯 @薯条小助手 @薯宝宝 @薯队长"
human_29b98044b1b05af1,test,0,1,0.9970317,245,情感,,,"标题：武大宿舍记｜早餐11.26
正文：早上好，今日心情如何嘞🥱
昨晚半杯红酒下肚，十一点睡到八点才醒，猛然想起来要做HS，8:30早餐到手🥣
-
🥛牛奶：蒙牛纯牛奶（昨天是伊利）
🥠主食：红糖发糕（老朋友）
奶黄包*2（更正，是外表迷惑人的新朋友豆沙包）
玉米面窝窝*3（新朋友驾到，通通闪开，本北方人爱住了）
🥚蛋白质：鸡蛋
昨天的老朋友花卷没了，我还挺喜欢的，哈哈哈果然“得不到的永远在骚动”
-
今日份早餐饱饱，希望屏幕前的你也开心哦🥳
#研究生日常[话题]# #武汉大学[话题]#"
human_1cdbb1aec07ab9dc,test,0,1,0.9856258,276,美食,,,"标题：山药水果球 超简单的手指食物 8M➕
正文：今天手指食物做了个简单的[偷笑R] 山药水果球 山药水果球 准备食材：山药 火龙果 制作步骤： 1⃣️山药削皮切段上锅蒸熟 火龙果切丁 2⃣️蒸熟的山药压成泥 3⃣️带一次性手套 刷点辅食油 抓一点山药泥先揉成球后压成饼 放一粒火龙果丁再次揉成球 4⃣️碗里倒一点米粉 将山药球在米粉里滚一圈（此步骤可以省略） 小tips： 水果可以换其他的呀 我家只有火龙果了[笑哭R] #宝宝辅食分享 #宝宝的辅食日记 #辅食添加 #水果 #手指食物 #大爱水果季 #每日水果 #火龙果 #红心火龙果 宝宝辅食分享"
human_3c940b918eb53d0f,test,0,1,0.9990596,288,心理,,,"标题：关于梦境的深度揭秘！
正文：很多不敢活出真实的自我、一直在活“假自我”的人，晚上会失眠，多梦。有些人的梦境非常活跃，非常奇幻，甚至比连续剧还精彩。 ⭐ 如何解释这种现象呢？ ⭐ 其实，那是你的潜意识跑出来了。 ⭐ 白天，你一直在用意识压抑潜意识。可是，潜意识才是真正的主宰。它不会因为你拼命压抑它就消失，它是压不住的。甚至你越去压制，它反弹得就越厉害。 ⭐ 既然白天你活不出真正的自我，那它就只好跑到你的梦里，让你在梦里活出来。 ⭐ 人间美好，人间值得。感恩所有的相遇，祝福大家能量越来越高，越活越圆满！ ⭐ ——刘语丝Angela #修行 #心灵修行 #心理咨询 修行"
human_af794d7c3744fc34,test,0,1,0.7516297,317,美食,,,"标题：超级酷炫的追月计划中秋礼盒！上市即爆款！
正文：中秋明月总是又圆又亮，让我们再靠近月亮一点… 这款『追月计划中秋礼盒』围绕“圆月”这个浪漫又科幻的主题设计，将我们对月球的想象和对节日的期待通过这款充满科技感的礼盒传递给大家。✨ 亮点：上下抽拉式开盒，打破传统包装，炫酷又前卫（tip：还可以当桌面收纳盒&笔记本电脑支架噢 【追月计划·常规版】 紫薯月饼*2 流心奶黄月饼*2 燕窝雪媚娘流心月饼*2 礼盒*1 【追月计划·榨汁机】 流心奶黄月饼*2 燕窝雪媚娘流心月饼*2 美的布谷榨汁机*1 3D航天拼图*1 礼盒*1 #中秋礼盒 #中秋月饼礼盒 #月饼礼盒 #中秋月饼 #新品上市 #中秋节"
human_6dfed52b068ec4d8,test,0,1,0.9178769,275,学习,,,"标题：二战90分：考研英语完型填空接近满分的经验
正文：强烈要求大家不要再把完型放在最后复习了！完型共10分，分值并不少！一定要认真对待呀！ 下面是我根据历年英一和英二的真题整理出的一些做题方法和技巧，希望对大家有帮助！ 但方法不是万能的，最重要的还是忠于原文，符合文章逻辑的才是正确答案！ ‍♀️还有，截图里的统计基本准确（不排除我看错了[笑哭R]，但可能性不大），不过高频词≠正确答案！ ‼️最后，欢迎大家踊跃提问，想看哪些笔记也可以提出来喔～咱们一起学习一起进步呀✊ #23考研 #考研英语 #考研英语完型 #考研经验 #考研英语复习 23考研"
human_c8b1121cbd5f5af6,test,0,1,0.5219507,290,穿搭,,,"标题：上海｜粉色少女梦缤纷登场🎈
正文：🚴‍♀️骑车路过abcplayer，发现门口的气球装置变成梦幻的粉红色了！进店询问才知道咖啡店和宾得宝气泡果汁做了联名活动，整个店面都被浪漫的粉红包围

🎪马戏团梦游记：
abcplayer✖️宾得宝联名款，粉粉嫩嫩的颜值超高，连顶部的奶泡都是酸甜西柚果味，后调带着浓烈的奶香，喝完以后吃棒棒糖🍭，是童年的幸福味道

🤯爆炸头逃离马布里：
爆炸头在望春风全新升级，生食鸡蛋+芒果+椰子+白桃乌龙+espresso，芒果和白桃的味道比较浓，果香四溢，搭配厚厚的巧克力曲奇，可爱又好吃

✏️店名：「abcPlayer」
📍地址：愚园路315号"
human_47bbf9b8b6f8674f,test,0,1,0.85347503,883,职场,,,"标题：加拿大成功企业的5️⃣大特点，你学会了吗⁉️
正文：之前的笔记跟大家分享过在创业的优势，还没看过的宝宝们记得浏览一下哦～在这边创业的限制确实相对较少一些，但是之后运营的过程都是一样艰辛的！很多人都坚持不住半路放弃了 · 工作原因，我能够接触到加拿大这边很多成功的企业主。通过分析他们的创业历程，我给大家总结了5️⃣个小要点，希望能帮到想要创业或者已经在创业路途中的小伙伴们，建议收藏哦 · ✅找准市场 和国内不同，加拿大这边人口少，行业也没有那么丰富，找准公司的target audience就变得非常重要企业应该明确一个“利他”性，就是要站在客户的角度想问题，自己能够提供什么样的商品或者服务"
human_3df1d811939729fc,test,0,1,0.74893457,532,心理,,,"标题：🔥中考分流之下➡️留学适合中产家庭吗？
正文：今天跟大家分享一个刚拿到的澳洲公立学校的录取offer，借此聊聊中考与选择！
2021年，中考改革，只有一半的孩子能够上普高，另一半的孩子，家庭条件好一点的，进民办高中或者价格昂贵的国际学校，还有一部分只能去职高或技校。在和家长们沟通交流中，明显感觉到大家的焦虑！
那中考不理想的孩子，还有其他出路吗？有的，出国留学！
可能你会认为，出国留学只适合有钱人家的孩子。其实并不然，现在很多中产家庭也开始纷纷选择这条路。
相比于英美动辄50万的费用，他们更愿意选择澳洲、新西兰和加拿大这几个国家，因为可以就读当地的公立学校，性价比会高。以澳洲公立学校为例"
human_180f412631ddb299,test,0,1,0.982137,385,学习,,,"标题：1677单词停更，敬请关注我的专栏和新课
正文：截止到今天，1677单词视频已经更新了1300多期啦！感谢童鞋们一直以来的喜爱，才能让我甘愿花一年多的时间，用心只做好这一件事。每次看到你们在留言区分享自己的进步，我都特别开心，跟你们一样有成就感～ 两天前我开始了新的全职工作，所以1677系列只能暂停更新了。不过我的全套资料（讲义、ppt、音频、单词表、背单词链接等）都已整理到我的专栏课程里，点击图中的标记就可以跳转哦！ 此外，预计5月我会推出《英语晨读精讲》这门新课。不同的是，这门课不单独讲单词，而是选取美文片段，按照泛听+逐句精讲+梳理词汇+跟读这四个步骤，来提高听力、阅读、词汇、口语"
